Name,Symbol,Price (USD),Market Cap,24h Change (%)
Ripple USD,RLUSD,0.99871,902480036,-0.1108
Arbitrum Bridged WBTC (Arbitrum One),WBTC,111103,900611527,0.4359
Celestia,TIA,1.041,860853577,2.66622
clBTC,CLBTC,111240,859127589,
Optimism,OP,0.448426,850626647,2.04678
Virtuals Protocol,VIRTUAL,1.29,850611277,43.29529
Aerodrome Finance,AERO,0.930759,842731866,15.52744
DoubleZero,2Z,0.238649,829647488,3.4748
Injective,INJ,8.44,824855219,0.92681
Lido DAO,LDO,0.919715,823844202,0.90132
Stacks,STX,0.451101,814807677,2.70163
Fasttoken,FTN,1.87,810973332,-7.28543
Marinade Staked SOL,MSOL,257.49,808794833,0.82859
OUSG,OUSG,113.06,787485275,0.02087
Circle USYC,USYC,1.1,783619459,
Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,10.87,760991134,0.0
Curve DAO,CRV,0.532632,753964289,0.44989
FLOKI,FLOKI,7.393e-05,713612360,1.14323
Plasma,XPL,0.3734,705150964,-1.54271
L2 Standard Bridged WETH (Base),WETH,3935.41,687323289,0.71429
Ether.Fi Liquid ETH,LIQUIDETH,4145.75,685192567,0.77243
The Graph,GRT,0.06478,683847184,1.18724
Stables Labs USDX,USDX,0.99883,683110023,0.10384
Ondo US Dollar Yield,USDY,1.093,681949402,-0.07031
Artificial Superintelligence Alliance,FET,0.26047,678185181,-1.11449
Pyth Network,PYTH,0.115567,664507336,1.62845
tBTC,TBTC,111384,660602180,0.92257
Tezos,XTZ,0.60612,644081527,2.158
Kaia,KAIA,0.108419,634986915,0.32521
Sonic,S,0.166092,628358349,1.00816
Humanity,H,0.339794,620030324,35.64945
IOTA,IOTA,0.149109,610044437,2.87747
Stader ETHx,ETHX,4216.49,605039446,0.51774
GTETH,GTETH,3932.95,604921350,0.77163
Arbitrum Bridged WETH (Arbitrum One),WETH,3932.69,604657364,0.66496
Beldex,BDX,0.078701,588483522,0.63771
USDai,USDAI,1.013,586025730,-0.24511
AB,AB,0.00690973,577609458,-0.78321
Ether.fi,ETHFI,1.022,576062434,2.40924
Conflux,CFX,0.110592,569386468,-0.36065
MYX Finance,MYX,2.91,553886249,-10.55774
Usual USD,USD0,0.997747,548058574,-0.0608
Theta Network,THETA,0.547336,547349109,-0.61022
Polygon PoS Bridged DAI (Polygon POS),DAI,1.0,545737722,0.0095
dogwifhat,WIF,0.545528,544810430,2.36502
Polygon Bridged USDC (Polygon PoS),USDC.E,0.999817,543800515,-0.00795
Pendle,PENDLE,3.2,538932470,0.93222
Coinbase Wrapped Staked ETH,CBETH,4332.73,533959063,0.73022
Trust Wallet,TWT,1.28,531877309,1.04238
Swell Ethereum,SWETH,4337.91,526288148,0.59402
The Sandbox,SAND,0.213419,521882966,1.1574
Dash,DASH,41.71,519723178,3.51002
Avalanche Bridged BTC (Avalanche),BTC.B,111325,519160375,0.68666
Starknet,STRK,0.119819,517463512,-0.31384
JasmyCoin,JASMY,0.01067252,516456065,0.77374
GALA,GALA,0.01113857,516141993,1.70748
Ethereum Name Service,ENS,15.52,514446352,1.1909
Mantle Bridged USDT (Mantle),USDT,1.001,510933377,0.1185
Binance-Peg Dogecoin,DOGE,0.197175,505670905,0.77591
BitTorrent,BTT,5.02795e-07,495887292,1.40672
TrueUSD,TUSD,0.997249,493304096,-0.14238
ether.fi Staked ETH,EETH,3916.04,479615333,0.28087
Raydium,RAY,1.79,478445173,0.08169
Steakhouse USDC Morpho Vault,STEAKUSDC,1.11,474622705,0.01527
Vaulta,A,0.293253,469068467,0.97193
USDD,USDD,1.0,465544473,0.00034
Decentraland,MANA,0.241576,463393328,0.53901
SwissBorg,BORG,0.469461,461130433,-2.55757
BENQI Liquid Staked AVAX,SAVAX,24.05,460627129,1.26852
Arbitrum Bridged Wrapped eETH (Arbitrum),WEETH,4241.51,457244725,0.79815
Aster Staked BNB,ASBNB,1176.78,456643494,0.67433
Jito,JTO,1.14,447811518,4.20959
Flow,FLOW,0.27212,440125770,-0.11985
Mantle Restaked ETH,CMETH,4246.78,437828398,0.86263
Maple Finance,SYRUP,0.38599,431287279,2.1004
Sun Token,SUN,0.02235359,428598178,-1.84399
Bitcoin SV,BSV,21.48,428283730,-0.35351
EigenCloud (prev. EigenLayer),EIGEN,1.1,428087337,1.99425
Polygon PoS Bridged WETH (Polygon POS),WETH,3937.91,427568242,0.70931
Wrapped HYPE,WHYPE,42.56,424217855,9.15483
Satoshi Stablecoin,SATUSD,1.002,422571420,0.62637
Synthetix,SNX,1.23,421989338,-2.34441
Zora,ZORA,0.09324,417204772,-0.35044
ApeCoin,APE,0.449209,408178043,-6.59374
GHO,GHO,0.999597,407597350,-0.00249
AINFT,NFT,4.08389e-07,404340404,-0.60639
Frax Ether,FRXETH,3903.51,403431910,0.78986
USDB,USDB,1.008,403362056,0.80712
Aethir,ATH,0.0280494,400543569,-2.09626
Vision,VSN,0.118858,400095444,0.5603
Kinetiq Earn Vault,VKHYPE,43.08,394367408,8.86458
AI Companions,AIC,0.393139,393128467,-8.09727
OriginTrail,TRAC,0.782218,390764026,2.49506
Merlin Chain,MERL,0.405322,390753161,3.8645
Fartcoin,FARTCOIN,0.389542,388948781,4.65553
Ribbita by Virtuals,TIBBIR,0.383748,383048921,0.69116
Ape and Pepe,APEPE,1.82e-06,382003802,0.43995
Falcon Finance,FF,0.161733,380252226,-4.12616
0G,0G,1.75,373375211,0.49541
Spiko EU T-Bills Money Market Fund,EUTBL,1.21,373243136,-0.00372
Helium,HNT,2.0,372900489,1.2707
DeXe,DEXE,6.52,372539654,0.17632
Savings Dai,SDAI,1.17,371606986,-0.03713
Zebec Network,ZBCN,0.00391413,370984651,2.82648
Walrus,WAL,0.249368,368945377,-0.52645
Compound,COMP,37.92,368393001,0.87245
Olympus,OHM,22.48,368131970,-0.25707
Unit Bitcoin,UBTC,111429,364748820,0.78057
NEO,NEO,5.16,363629629,0.98037
ETHPlus,ETH+,4154.97,357537496,0.72935
Fluid,FLUID,4.58,355809140,1.48705
Wormhole,W,0.073614,355473555,1.9846
Telcoin,TEL,0.00372668,354313596,-1.48378
Reservoir srUSD,SRUSD,1.11,353709570,-0.45835
Treehouse ETH,TETH,4813.56,349486749,0.73097
Gnosis,GNO,130.8,345307633,2.10199
Loaded Lions,LION,0.01110406,340621548,1.41209
Reserve Rights,RSR,0.00549214,333514552,0.53323
AtomOne,ATONE,2.73,332115409,3.8407
JUST,JST,0.03343255,330984018,1.06769
Wrapped AVAX,WAVAX,19.58,330968004,1.18513
Drift Staked SOL,DSOL,222.06,330267595,0.59218
Chiliz,CHZ,0.03260015,328121761,1.27801
Bybit Staked SOL,BBSOL,215.2,327398386,1.06439
Toshi,TOSHI,0.00077584,326382930,8.49233
Mantle Bridged WETH (Mantle),WETH,3940.8,323979347,0.96423
Ethena Staked ENA,SENA,0.420853,320612665,-10.32161
Onyxcoin,XCN,0.008927,319244671,1.01527
Solv Protocol Staked BTC,XSOLVBTC,110129,317147824,0.29445
Binance-Peg BUSD,BUSD,0.999022,312172314,-0.02738
ARK,ARK,40.2,306932229,0.59565
WEMIX,WEMIX,0.669931,305693139,3.58653
THORChain,RUNE,0.858489,301422103,0.76575
Useless Coin,USELESS,0.29806,297053856,9.17164
Staked Frax Ether,SFRXETH,4442.72,296414440,0.88063
Legacy Frax Dollar,FRAX,0.995576,290685192,-0.03626
eCash,XEC,1.456e-05,290263654,0.17745
Cap USD,CUSD,0.99878,289449091,-0.19926
币安人生 (BinanceLife),币安人生,0.287007,287072818,29.67041
EURC,EURC,1.16,283392547,-0.03757
MultiversX,EGLD,9.84,282587944,0.95375
Staked Stream USD,XUSD,1.26,281600387,0.02266
Cognify,SN115,1762.47,280790609,0.0
Decred,DCR,16.41,280330335,-0.00358
Resolv USR,USR,0.999545,279221241,-0.02317
Polygon Bridged WBTC (Polygon POS),WBTC,111313,278785632,0.7626
KAITO,KAITO,1.14,274945146,10.06914
Cheems Token,CHEEMS,1.34e-06,272803583,-1.10352
cgETH Hashkey Cloud,CGETH.HASHKEY,1363.36,272574412,-50.99547
Brett,BRETT,0.02750619,272264601,3.02068
crvUSD,CRVUSD,0.998056,270379412,-0.03048
Midas mHYPER,MHYPER,1.048,269990350,0.0
Axie Infinity,AXS,1.6,266870140,1.04403
dYdX,DYDX,0.336096,265580331,1.56545
Noble USDC,USDC.N,1.001,263928108,0.11591
Stables Labs Staked USDX,SUSDX,1.11,263879613,-0.18862
Beam,BEAM,0.00510078,261411459,1.28049
Ronin,RON,0.376506,260887012,-0.16709
Four,FORM,0.682904,260677266,-1.5782
Sui Bridged USDT (Sui),SBUSDT,1.0,258486489,-0.03172
Meteora,MET,0.536601,256254861,-2.98185
Terra Luna Classic,LUNC,4.615e-05,253541803,1.33296
cWBTC,CWBTC,2237.9,253294070,0.86037
RealLink,REAL,0.074809,251479282,1.64565
Arweave,AR,3.84,251031681,-0.20912
1INCH,1INCH,0.178598,249610495,1.71816
Basic Attention,BAT,0.166619,249174370,-2.3336
Berachain,BERA,1.89,244824177,-1.47174
Undeads Games,UDS,2.39,243838176,0.32245
SuperVerse,SUPER,0.387426,243360125,0.84344
Blockchain Capital,BCAP,26.27,239368694,0.0
Giggle Fund,GIGGLE,238.48,237853014,156.35054
Aster USDF,USDF,0.998578,236986832,-0.02886
Core,CORE,0.233628,236935499,0.65628
ZKsync,ZK,0.03267586,236072719,-1.37801
Resolv wstUSR,WSTUSR,1.12,234774186,0.00846
Linea,LINEA,0.01503924,232528998,-1.05178
Livepeer,LPT,5.07,232367014,-0.19679
Fidelity Digital Interest Token,FDIT,1.0,230953588,0.0
Concordium,CCD,0.01966895,230400523,7.2237
AIOZ Network,AIOZ,0.190632,229974942,2.28173
MetaDAO,META,10.11,229837766,26.63481
Plume,PLUME,0.072348,226690462,1.74171
Creditcoin,CTC,0.455571,226104185,1.03812
Keeta,KTA,0.518871,225486004,-7.76431
OpenEden OpenDollar,USDO,0.998981,222575646,-0.03402
MX,MX,2.4,221754816,1.37577
USDa,USDA,0.992517,221072028,-0.06842
Slash Vision Labs,SVL,0.04390073,216431782,-2.08762
Moca Network,MOCA,0.054272,214390816,1.76854
DeepBook,DEEP,0.085441,213516262,6.60459
Saros,SAROS,0.081045,212850125,9.45129
USX,USX,1.0,212775743,-0.01581
Binance-Peg SOL,SOL,193.09,212473862,0.87422
SoSoValue,SOSO,0.77309,212392611,0.21142
Qtum,QTUM,2.0,211798862,1.19382
Origin Ether,OETH,3930.17,211455520,0.64532
Universal BTC,UNIBTC,110593,209248093,0.58197
Venom,VENOM,0.09891,208785287,0.04945
StandX DUSD,DUSD,0.999561,208659180,-0.02216
Amp,AMP,0.00246667,207750914,0.46383
Movement,MOVE,0.07359,205897209,1.56686
Midas msyrupUSDp,MSYRUPUSDP,1.008,201638648,0.0
Compounding OpenDollar,CUSDO,1.028,199307883,-0.29166
Axelar,AXL,0.187732,198804174,-0.34008
Polygon Bridged weETH (Katana),WEETH,4240.6,197401317,0.61852
Horizen,ZEN,11.14,195266630,2.03442
Avantis,AVNT,0.746482,193430313,-11.52226
Snek,SNEK,0.00258936,193197295,-1.46062
SOON,SOON,0.706086,193052665,-3.13031
Legacy Token,LGCT,1.83,192538738,-0.36463
EOS,EOS,0.294546,192367100,1.48944
Kamino,KMNO,0.062176,191988336,4.06442
LayerZero,ZRO,1.72,190833453,1.96584
SafePal,SFP,0.380224,190149565,-0.14209
Tradable NA Rent Financing Platform SSTN,PC0000031,1.0,189500000,0.0
Kinesis Gold,KAU,131.92,189299128,-0.18914
Drift Protocol,DRIFT,0.49464,189049219,3.82638
Kinesis Silver,KAG,49.42,188793834,1.16268
Arkham,ARKM,0.364008,186828227,1.44047
Theta Fuel,TFUEL,0.02597462,184463090,-0.66857
Convex Finance,CVX,2.23,182484257,0.60274
Nexus Mutual,NXM,92.31,182197427,5.12042
Ecoreal Estate,ECOREAL,0.321505,182167981,1.3801
Kusama,KSM,10.55,181710964,0.36299
Mog Coin,MOG,4.62613e-07,180336728,5.05124
Akash Network,AKT,0.640904,179633292,2.19278
Golem,GLM,0.179546,179545236,1.26932
Sahara AI,SAHARA,0.078137,179155083,0.47345
Cronos Bridged USDC (Cronos),USDC,0.995905,178702159,-0.47969
Succinct,PROVE,0.914294,178287278,-7.68016
Sky Coin,XSO,0.00017787,177870108,-0.00204
Rekt,REKT,4.22222e-07,177647437,-1.24694
Phantom Staked SOL,PSOL,200.35,176916303,0.60125
Dog (Bitcoin),DOG,0.00175762,175908820,2.17771
Qubic,QUBIC,1.38e-06,174617445,-0.81601
Zano,ZANO,11.53,172962975,-0.81671
Baby Doge Coin,BABYDOGE,1.006e-09,172850903,0.14394
Mashida,MSHD,0.01711193,169835093,-0.46833
Gas,GAS,2.6,169311362,-0.09591
Super OETH,SUPEROETH,3938.22,169119900,0.84872
cat in a dogs world,MEW,0.00190319,169106412,2.35365
Tokenize Xchange,TKX,2.11,168856308,0.02914
GoMining Token,GOMINING,0.412406,167883177,0.8684
Conscious Token,CONSCIOUS,0.358007,167779555,-0.12686
BUILDon,B,0.167748,167678554,6.27464
APEX,APEX,1.27,167666213,7.49429
BTSE Token,BTSE,1.035,167586829,0.638
Prom,PROM,9.17,167421135,-4.29101
Midas mF-ONE,MF-ONE,1.046,167184530,0.00423
0x Protocol,ZRX,0.197107,167177898,0.05214
Turbo,TURBO,0.00241352,166532848,2.04178
Bio Protocol,BIO,0.092355,164556773,7.35023
KOGE,KOGE,48.01,162454156,0.0011
Safe,SAFE,0.250638,162201739,0.52905
yearn.finance,YFI,4735.2,160858060,0.02659
ALEO,ALEO,0.266434,160206983,2.36157
Ether.fi Staked BTC,EBTC,111311,159744885,0.3969
InfiniFi USD,IUSD,0.998205,159657952,-0.1662
Unibase,UB,0.063948,158594635,22.6499
Spiko US T-Bills Money Market Fund,USTBL,1.062,157627553,0.0
YieldFi yToken,YUSD,1.13,157476987,0.21279
Nervos Network,CKB,0.00330992,157210326,1.68974
Zilliqa,ZIL,0.00800344,156578697,1.57616
MAG7.ssi,MAG7.SSI,0.924557,155969219,-0.38924
Ultima,ULTIMA,3923.92,154581876,-3.1533
Ravencoin,RVN,0.00981385,154387847,-0.36117
Popcat,POPCAT,0.15709,153991688,3.20282
AgentFun.AI,AGENTFUN,1.54,153518362,3.06049
Infrared Bera,IBERA,1.93,153001326,-0.27986
Kava,KAVA,0.14074,152284689,2.73184
Crypto.com Staked ETH,CDCETH,4157.6,151187041,0.79636
Metal Blockchain,METAL,0.296876,150706235,-0.41881
Elixir deUSD,DEUSD,0.999986,150398915,-0.04692
Quantum Resistant Ledger,QRL,1.91,150134129,0.12268
Stargate Finance,STG,0.154531,150101853,-0.09472
GUSD,GUSD,0.99913,149633852,-0.1615
CoinEx,CET,0.057203,149281183,-0.14319
BitMart,BMX,0.439183,149085017,-3.42244
Euler,EUL,7.95,148672783,3.93879
Wrapped Aave Ethereum WETH,WAETHWETH,4157.78,148362979,0.89436
TDCCP,TDCCP,0.230731,147805905,0.22499
Celo,CELO,0.250181,146072136,1.01922
Lombard,BARD,0.646292,145532123,-0.4842
VVS Finance,VVS,3.09e-06,144829680,2.94903
Staked USDai,SUSDAI,1.048,144825670,-0.09736
Sui Bridged WBTC (Sui),WBTC,111613,144241490,0.94322
STASIS EURO,EURS,1.16,143781116,0.36657
Astar,ASTR,0.01751496,143553436,0.34947
Velo,VELO,0.00827155,143261653,3.77113
AWE Network,AWE,0.073716,143101159,-2.23927
XPR Network,XPR,0.00505725,142452804,-1.88793
StarkGate Bridged USDC (Starknet),USDC,0.999881,142327340,-0.00475
UCHAIN,UCN,1402.89,140290436,0.42142
Restaking Vault ETH,RSTETH,4784.39,139705718,-0.07006
Stargate Bridged WETH,WETH,3946.35,138787642,1.02966
Threshold Network,T,0.01285184,138593089,0.26225
Function FBTC,FBTC,110947,138157517,1.08695
Peanut the Squirrel,PNUT,0.137831,137591087,2.45748
AUSD,AUSD,0.999721,137346703,-0.02724
River,RIVER,6.92,137319823,-20.12455
Grass,GRASS,0.437296,137026645,5.38072
Shuffle,SHFL,0.407006,136762151,2.76282
Anoma,XAN,0.054073,135198958,19.12801
Avalanche Bridged WETH (Avalanche),WETH,3938.09,135072387,0.81622
Unit Plasma,UXPL,0.37235,134563807,-1.46754
cETH,CETH,79.19,134264462,0.78609
Blur,BLUR,0.051778,133171695,0.09938
Mina Protocol,MINA,0.105232,132463701,0.71516
KUB Coin,KUB,1.48,131360864,0.32013
WeFi,WFI,1.82,131353523,16.44148
Theo Short Duration US Treasury Fund,THBILL,1.012,131100125,-0.25064
Wrapped Aave Ethereum USDC,WAETHUSDC,1.15,130890598,0.01255
ZetaChain,ZETA,0.121043,129759380,1.54562
Unit Pump,UPUMP,0.00406142,129582476,-0.65433
Railgun,RAIL,2.25,129297139,-1.04674
ZIGChain,ZIG,0.091365,128782694,-0.52392
MANTRA,OM,0.117136,128406986,0.449
Hyperbeat USDT,HBUSDT,1.077,128338805,0.08008
Apollo Diversified Credit Securitize Fund,ACRED,1066.63,127835161,0.00423
XPIN Network,XPIN,0.00820389,126737596,2.13312
Frax (prev. FXS),FRAX,1.42,126658891,2.14084
Metaplex,MPLX,0.220268,126150259,-1.37493
Yala Stablecoin,YU,0.999206,125742119,-0.02642
DeAgentAI,AIA,1.25,125306045,-6.11366
4,4,0.12404,124647974,29.78549
peaq,PEAQ,0.088655,123733482,-2.36494
Oasis,ROSE,0.01667614,123609102,1.94797
Verus,VRSC,1.53,121228291,-4.45495
Renzo Restaked LST,PZETH,4782.92,120286799,0.51921
CoW Protocol,COW,0.227774,120232339,1.12044
Wrapped Savings rUSD,WSRUSD,1.044,120068434,-0.09751
Centrifuge,CFG,0.211494,119873760,3.77194
Stargate Bridged USDC,USDC.E,1.0,119690950,0.01534
Avant USD,AVUSD,0.99953,119255254,-0.17932
Ozone Chain,OZO,0.132764,118883759,0.44557
Holo,HOT,0.0006651,118097941,0.47406
Frax USD,FRXUSD,0.999613,117639824,-0.03682
Gems VIP,GEMS,0.191979,117530437,-2.29202
Rollbit Coin,RLB,0.062363,117078166,-0.3772
Resolv Liquidity Provider Token,RLP,1.25,116976644,0.06913
Moonwell Flagship ETH (Morpho Vault),MWETH,3899.4,116937888,0.75076
PayFi Strategy Token USDC,PSTUSDC,1.055,116468753,-0.00293
World Mobile Token,WMTX,0.149863,116094870,-1.15292
DOLA,DOLA,0.996718,115745656,-0.01367
Moo Deng,MOODENG,0.116862,115587527,4.6313
Wrapped Aave Ethereum USDT,WAETHUSDT,1.14,115392299,0.0184
DFDV Staked SOL,DFDVSOL,201.56,115366181,1.86147
VeThor,VTHO,0.00120509,114954547,-0.13908
Gaib AI Dollar Alpha USDC,AIDAUSDC,0.996428,114496056,-0.26008
Anzen USDz,USDZ,0.989722,114363859,-0.13147
Siacoin,SC,0.0020235,113368348,0.55831
DigiByte,DGB,0.00631093,113322144,2.333
Minidoge,MINIDOGE,1.60169e-07,112102184,-0.25992
aelf,ELF,0.139856,111680859,-0.04076
SQD,SQD,0.12971,111580133,-6.34932
sBTC,SBTC,111504,111504310,0.24301
Avant Staked USD,SAVUSD,1.1,111453092,0.02145
SKALE,SKL,0.01840141,110940304,1.23392
ORDI,ORDI,5.26,110438323,1.85595
USDA,USDA,0.986707,109524455,-0.07568
IoTeX,IOTX,0.0115576,109076551,-0.3311
Chutes,SN64,33.94,107913258,4.43964
Casper Network,CSPR,0.00794043,107522281,0.69245
GMX,GMX,10.4,107459504,-2.24072
LCX,LCX,0.11346,106764725,1.78063
Flare Bridged XRP (Flare),FXRP,2.59,106251095,4.18371
Illuvium,ILV,11.16,105792865,2.26875
XYO Network,XYO,0.00757333,105621119,-11.61923
EthereumPoW,ETHW,0.97846,105495402,0.1006
Orderly,ORDER,0.319406,105217582,7.02978
Polymesh,POLYX,0.086758,105196457,0.78652
tokenbot,CLANKER,107.17,104312720,68.45535
Onchain Yield Coin,ONYC,1.04,104017826,-0.03512
Entangle,NTGL,0.00017148,103745321,
Sushi,SUSHI,0.536632,103424907,1.36349
HashKey Platform Token,HSK,0.320133,103230019,9.02271
f(x) Protocol fxUSD,FXUSD,0.999199,103043775,-0.03411
UMA,UMA,1.17,103039414,-0.68524
Numeraire,NMR,12.84,102879963,1.28122
Open Campus,EDU,0.17315,102093212,-2.4097
Ankr Network,ANKR,0.01016555,101617813,-0.12319
Savings xDAI,SDAI,1.21,101232289,0.15379
MarsMi,MARSMI,0.100536,101173760,0.22205
Bitlight,LIGHT,2.33,100940128,3.92869
Tradable Singapore Fintech SSL,PC0000023,1.0,100846154,0.0
Ring USD,USDR,0.999678,100367675,
RedStone,RED,0.357567,100153811,5.389
Syndicate,SYND,0.208913,100023329,23.86074
QL1 Bridged USDT (QL1),QUSDT,1.0,100009000,-0.00484
ViciCoin,VCNT,17.54,99936436,-0.22927
Wrapped Centrifuge,WCFG,0.208054,99918430,1.52101
Non-Playable Coin,NPC,0.01235381,99446567,3.28974
VaultBridge Bridged WBTC (Katana),VBWBTC,111355,98924511,0.72113
Harmony,ONE,0.00669417,98757003,2.83818
Chia,XCH,6.75,98753418,-0.61764
f(x) USD Saving,FXSAVE,1.06,98315954,0.04513
deBridge,DBR,0.02778403,97480033,-0.48752
ICON,ICX,0.08983,96911270,-0.15964
Memecoin,MEME,0.00167879,96528044,1.30491
Bless,BLESS,0.052282,96463788,21.63583
Helder,HLDR,0.238908,96042288,-0.84781
