Title,Author,Subjects,PublishYear,Link
Self-help,Samuel Smiles,N/A,1800,https://openlibrary.org/works/OL2321834W
The Scarecrow of Oz,L. Frank Baum,N/A,1915,https://openlibrary.org/works/OL262352W
Riders of the Purple Sage,Zane Grey,N/A,1912,https://openlibrary.org/works/OL485504W
Can you forgive her?,Anthony Trollope,N/A,1864,https://openlibrary.org/works/OL109868W
Something Wicked This Way Comes,Ray Bradbury,N/A,1962,https://openlibrary.org/works/OL103194W
The Notebook,Nicholas Sparks,N/A,1996,https://openlibrary.org/works/OL54797W
The Problem of Pain,"C.S. Lewis, James Simmons",N/A,1940,https://openlibrary.org/works/OL71167W
Runaway Ralph,Beverly Cleary,N/A,1970,https://openlibrary.org/works/OL151956W
Looking for Alaska,John Green,N/A,2005,https://openlibrary.org/works/OL265426W
Nightmare Abbey,Thomas Love Peacock,N/A,1818,https://openlibrary.org/works/OL2713465W
Different Seasons,Stephen King,N/A,1982,https://openlibrary.org/works/OL81621W
The Brethren,John Grisham,N/A,2000,https://openlibrary.org/works/OL76980W
Foundation's Edge,Isaac Asimov,N/A,1977,https://openlibrary.org/works/OL46302W
Everything's Eventual. 14 Dark Tales,Stephen King,N/A,2002,https://openlibrary.org/works/OL81584W
Antigone,Sophocles,N/A,1835,https://openlibrary.org/works/OL15902218W
The Princess and the Goblin,George MacDonald,N/A,1872,https://openlibrary.org/works/OL15449W
Lost Horizon,James Hilton,N/A,1933,https://openlibrary.org/works/OL2455093W
Jaws,Peter Benchley,N/A,1973,https://openlibrary.org/works/OL3454854W
Biology,"Neil Alexander Campbell, Lawrence G. Mitchell, Jane B. Reece",N/A,1994,https://openlibrary.org/works/OL1983083W
The Lost Hero,Rick Riordan,N/A,2010,https://openlibrary.org/works/OL15401200W
The Corrections,Jonathan Franzen,N/A,2001,https://openlibrary.org/works/OL4082696W
The Foundation Trilogy,Isaac Asimov,N/A,1950,https://openlibrary.org/works/OL46390W
Guards! Guards!,Terry Pratchett,N/A,1989,https://openlibrary.org/works/OL453735W
Literary works of Leonardo da Vinci,Leonardo da Vinci,N/A,1883,https://openlibrary.org/works/OL695407W
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,N/A,1980,https://openlibrary.org/works/OL1811898W
No Logo,"Naomi Klein, Naomi Klein",N/A,1957,https://openlibrary.org/works/OL6017245W
Philosophical essays concerning human understanding,David Hume,N/A,1900,https://openlibrary.org/works/OL93547W
The moon is a harsh mistress,Robert A. Heinlein,N/A,1965,https://openlibrary.org/works/OL59704W
The Long Winter,"Laura Ingalls Wilder, Garth Williams",N/A,1940,https://openlibrary.org/works/OL1719759W
Chronicles of Avonlea,Lucy Maud Montgomery,N/A,1912,https://openlibrary.org/works/OL77788W
The Killer Angels,Michael Shaara,N/A,1974,https://openlibrary.org/works/OL82664W
Cabin Fever,Jeff Kinney,N/A,2007,https://openlibrary.org/works/OL16224122W
"The History of Rasselas, Prince of Abyssinia","Samuel Johnson, Warren L. Fleischauer, Félix Paknadel, Octavie Belot, James MacAulay",N/A,1759,https://openlibrary.org/works/OL4558936W
El Club Dumas,Arturo Pérez-Reverte,N/A,1993,https://openlibrary.org/works/OL857568W
Mythology,Edith Hamilton,N/A,1940,https://openlibrary.org/works/OL5262120W
"Vite de' più eccellenti pittori, scultori et architettori","Giorgio Vasari, Peter Murray",N/A,1759,https://openlibrary.org/works/OL1298151W
Captain Underpants and the Attack of the Talking Toilets,Dav Pilkey,N/A,1996,https://openlibrary.org/works/OL8119760W
Paula,Isabel Allende,N/A,1994,https://openlibrary.org/works/OL1905373W
Under the Dome,Stephen King,N/A,2009,https://openlibrary.org/works/OL14917748W
The city and the pillar,Gore Vidal,N/A,1948,https://openlibrary.org/works/OL98031W
Relato de un náufrago,Gabriel García Márquez,N/A,1970,https://openlibrary.org/works/OL274550W
The Ocean at the End of the Lane,"Neil Gaiman, Mónica Faerna, Patrick Marcel, Lluís Delgado, Oriol Hernández",N/A,2013,https://openlibrary.org/works/OL16804661W
The Quiet American,Graham Greene,N/A,1940,https://openlibrary.org/works/OL106081W
What Katy Did,"Susan Coolidge, Adele Ledyard, Addie Ledyard",N/A,1873,https://openlibrary.org/works/OL5114586W
Starship Troopers,Robert A. Heinlein,N/A,1959,https://openlibrary.org/works/OL59740W
Cover Her Face,P. D. James,N/A,1962,https://openlibrary.org/works/OL510872W
Allegiant,Veronica Roth,N/A,2001,https://openlibrary.org/works/OL16808471W
L'immoraliste,André Gide,N/A,1902,https://openlibrary.org/works/OL631007W
The Penelopiad,Margaret Atwood,N/A,2005,https://openlibrary.org/works/OL675737W
The Greek myths,Robert Graves,N/A,1955,https://openlibrary.org/works/OL5036951W
Moriæ Encomium,Desiderius Erasmus,N/A,1515,https://openlibrary.org/works/OL679942W
Into Thin Air,Jon Krakauer,N/A,1996,https://openlibrary.org/works/OL1974548W
The Marble Faun,Nathaniel Hawthorne,N/A,1840,https://openlibrary.org/works/OL455336W
The Rape of the Lock,Alexander Pope,N/A,1714,https://openlibrary.org/works/OL79362W
The Wide Window,"Lemony Snicket, Brett Helquist, Michael Kupperman, Nestor Busquets",N/A,2000,https://openlibrary.org/works/OL15104131W
The Tale of Peter Rabbit,Beatrix Potter,N/A,1900,https://openlibrary.org/works/OL108735W
The poetical works of Sir Walter Scott,Sir Walter Scott,N/A,1800,https://openlibrary.org/works/OL863810W
Martin Chuzzlewit,Charles Dickens,N/A,1800,https://openlibrary.org/works/OL14869242W
Life of Samuel Johnson,James Boswell,N/A,1776,https://openlibrary.org/works/OL16234621W
Eaters of the Dead,Michael Crichton,N/A,1976,https://openlibrary.org/works/OL46873W
The Naked Sun,Isaac Asimov,N/A,1954,https://openlibrary.org/works/OL46398W
By the Shores of Silver Lake,"Laura Ingalls Wilder, Garth Williams",N/A,1924,https://openlibrary.org/works/OL1719790W
Institutio Christianae religionis,Jean Calvin,N/A,1536,https://openlibrary.org/works/OL938509W
Christmas Books (Battle of Life / Chimes / Christmas Carol / Cricket on the Hearth / Haunted Man),Charles Dickens,N/A,1800,https://openlibrary.org/works/OL8721461W
The advancement of learning,Francis Bacon,N/A,1605,https://openlibrary.org/works/OL15403036W
The Unfinished Nation,Alan Brinkley,N/A,1993,https://openlibrary.org/works/OL176193W
The World Is Flat -A Brief History OF THE TWENTY-FIRST CENTURY,Thomas L. Friedman,N/A,2005,https://openlibrary.org/works/OL3740416W
Plutarchi Vitae parallelae,Plutarch,N/A,1478,https://openlibrary.org/works/OL723358W
Tale of Despereaux,Kate DiCamillo,N/A,2003,https://openlibrary.org/works/OL468677W
The mis-education of the Negro,Carter Godwin Woodson,N/A,1933,https://openlibrary.org/works/OL48136W
Wolves of the Calla,Stephen King,N/A,2003,https://openlibrary.org/works/OL81594W
The Green Fairy Book (Large Print),"Andrew Lang, Henry Justice Ford",N/A,1892,https://openlibrary.org/works/OL1088797W
La sociedad del espectáculo,"Guy Debord, Guy Debord, Ron. Adams, Donald Nicholson-Smith, Colectivo Maldeojo",N/A,1967,https://openlibrary.org/works/OL3160238W
The Black Dahlia,James Ellroy,N/A,1987,https://openlibrary.org/works/OL553754W
"Speak, Memory",Vladimir Nabokov,N/A,1951,https://openlibrary.org/works/OL627083W
Pakistan,United States,N/A,1965,https://openlibrary.org/works/OL15292359W
The English Patient,Michael Ondaatje,N/A,1992,https://openlibrary.org/works/OL53071W
The dead secret,Wilkie Collins,N/A,1857,https://openlibrary.org/works/OL176087W
The Pale Horse,Agatha Christie,N/A,1961,https://openlibrary.org/works/OL471919W
MAIN STREET,Sinclair Lewis,N/A,1920,https://openlibrary.org/works/OL51117W
The deerslayer,James Fenimore Cooper,N/A,1841,https://openlibrary.org/works/OL77950W
I am Legend,Richard Matheson,N/A,1954,https://openlibrary.org/works/OL11374287W
Tales of a Fourth Grade Nothing,Judy Blume,N/A,1972,https://openlibrary.org/works/OL1838382W
Little Town on the Prairie,"Laura Ingalls Wilder, Garth Williams",N/A,1941,https://openlibrary.org/works/OL1719805W
The Secret History,Donna Tartt,N/A,1992,https://openlibrary.org/works/OL4321141W
Sahara,Clive Cussler,N/A,1982,https://openlibrary.org/works/OL84925W
"The Muqaddimah, an introduction to history","Ibn Khaldūn, عبد الرحمن ابن خلدون Abdel Rahman Ibn Khaldun",N/A,1858,https://openlibrary.org/works/OL1597257W
The Grand Sophy,Georgette Heyer,N/A,1950,https://openlibrary.org/works/OL4092680W
Letters to his son,"Philip Dormer Stanhope, 4th Earl of Chesterfield",N/A,1774,https://openlibrary.org/works/OL671958W
The  French Revolution,Thomas Carlyle,N/A,1837,https://openlibrary.org/works/OL1064769W
Insomnia,Stephen King,N/A,1994,https://openlibrary.org/works/OL81603W
The confidential agent,Graham Greene,N/A,1939,https://openlibrary.org/works/OL106076W
Partners in Crime,Agatha Christie,N/A,1929,https://openlibrary.org/works/OL471928W
Washington Square,Henry James,N/A,1880,https://openlibrary.org/works/OL276395W
Il barone rampante,Italo Calvino,N/A,1957,https://openlibrary.org/works/OL15322W
The Cricket on the Hearth,Charles Dickens,N/A,1846,https://openlibrary.org/works/OL14868783W
The Damned,Algernon Blackwood,N/A,2002,https://openlibrary.org/works/OL2700643W
Les Mandarins,Simone de Beauvoir,N/A,1954,https://openlibrary.org/works/OL260381W
Biology,Neil Alexander Campbell,N/A,1987,https://openlibrary.org/works/OL1983087W
Mary Poppins,P. L. Travers,N/A,1934,https://openlibrary.org/works/OL262141W
Complete Big Nate,Lincoln Peirce,N/A,2015,https://openlibrary.org/works/OL26318226W
La chartreuse de Parme,Stendhal,N/A,1800,https://openlibrary.org/works/OL733285W
Japanese fairy tales,Yei Theodora Ozaki,N/A,2002,https://openlibrary.org/works/OL19923414W
Silent Spring,Rachel Carson,N/A,1962,https://openlibrary.org/works/OL1884862W
Sanditon,Jane Austen,N/A,1925,https://openlibrary.org/works/OL66575W
The Wee Free Men,"Terry Pratchett, Paul Kidby",N/A,1994,https://openlibrary.org/works/OL453748W
The Last Days of Hitler,H. R. Trevor-Roper,N/A,1947,https://openlibrary.org/works/OL4147253W
The Door into Summer,Robert A. Heinlein,N/A,1957,https://openlibrary.org/works/OL59733W
Longitude,"Dava Sobel, William J. H. Andrewes, Irene Aldasoro Katarain",N/A,1995,https://openlibrary.org/works/OL265465W
Autobiography,John Stuart Mill,N/A,1873,https://openlibrary.org/works/OL1068072W
The Shelters of Stone,Jean M. Auel,N/A,2001,https://openlibrary.org/works/OL2746370W
La ciudad de las bestias,Isabel Allende,N/A,2002,https://openlibrary.org/works/OL1905269W
Physics for scientists and engineers,"Paul A. Tipler, Gene Mosca",N/A,1990,https://openlibrary.org/works/OL1984422W
The Third Wheel,Jeff Kinney,N/A,2003,https://openlibrary.org/works/OL16797312W
Poems,Matthew Arnold,N/A,1853,https://openlibrary.org/works/OL1336796W
The Magic of Oz,L. Frank Baum,N/A,1919,https://openlibrary.org/works/OL262380W
Artemis Fowl and the Arctic Incident,Eoin Colfer,N/A,2001,https://openlibrary.org/works/OL5725964W
Lucky Jim,Kingsley Amis,N/A,1953,https://openlibrary.org/works/OL1863530W
The Scarlet Plague,Jack London,N/A,1910,https://openlibrary.org/works/OL74485W
Bleach,Tite Kubo,N/A,2004,https://openlibrary.org/works/OL8756238W
Indian Fairy Tales,"Joseph Jacobs, John D Batten, Gloria Cardew, Joseph JACOBS, Joseph Jacobs, Jacobs, Ed, Joseph, John Dickson Batten, Joseph Joseph Jacobs",N/A,1892,https://openlibrary.org/works/OL240336W
Θεαίτητος,Πλάτων,N/A,1861,https://openlibrary.org/works/OL51854W
A Storm of Swords,George R. R. Martin,N/A,2000,https://openlibrary.org/works/OL257914W
The Sign of the Beaver,Elizabeth George Speare,N/A,1944,https://openlibrary.org/works/OL4783030W
Twice-Told Tales,Nathaniel Hawthorne,N/A,1837,https://openlibrary.org/works/OL455489W
Gerald's Game,Stephen King,N/A,1992,https://openlibrary.org/works/OL81617W
The Tale of Benjamin Bunny,"Beatrix Potter, Wendy Rasmussen, H.Y. Xiao PhD",N/A,1904,https://openlibrary.org/works/OL22156524W
Tom's Midnight Garden,Philippa Pearce,N/A,1958,https://openlibrary.org/works/OL2004807W
Norwegian Wood,村上春樹,N/A,1987,https://openlibrary.org/works/OL2625457W
Black Cauldron (Chronicles of Prydain,Lloyd Alexander,N/A,1965,https://openlibrary.org/works/OL1966566W
The magic Faraway Tree,Enid Blyton,N/A,1943,https://openlibrary.org/works/OL1948587W
The Franchise Affair (Inspector Alan Grant #3),Josephine Tey,N/A,1948,https://openlibrary.org/works/OL80946W
Dei delitte e delle pene,Cesare Beccaria,N/A,1764,https://openlibrary.org/works/OL1223677W
Night Over Water,"Ken Follett, K. Follett",N/A,1981,https://openlibrary.org/works/OL1914085W
Ramona and Her Father,Beverly Cleary,N/A,1977,https://openlibrary.org/works/OL151989W
Disgrace,J. M. Coetzee,N/A,1999,https://openlibrary.org/works/OL500451W
The Complete Short Stories of Ernest Hemingway,"Ernest Hemingway, Ernest Hemingway",N/A,1930,https://openlibrary.org/works/OL15332376W
Into the Wild,Erin Hunter,N/A,2003,https://openlibrary.org/works/OL265501W
Mrs. Frisby and the Rats of Nimh,"Robert C. O'Brien, Zena Bernstein",N/A,1970,https://openlibrary.org/works/OL5092623W
The Passage,Justin Cronin,N/A,2010,https://openlibrary.org/works/OL15168588W
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows, Mary Ann Shaffe",N/A,2008,https://openlibrary.org/works/OL9334371W
Μένων,Πλάτων,N/A,1869,https://openlibrary.org/works/OL51940W
Unfinished Tales of Númenor and Middle-earth,J.R.R. Tolkien,N/A,1980,https://openlibrary.org/works/OL27466W
Novels (The Call of the Wild / White Fang),Jack London,N/A,1962,https://openlibrary.org/works/OL144709W
Actes and monuments,John Foxe,N/A,1563,https://openlibrary.org/works/OL2290422W
Five Run Away Together,Enid Blyton,N/A,1942,https://openlibrary.org/works/OL1948504W
Mansfield Park,Jane Austen,N/A,1814,https://openlibrary.org/works/OL66530W
Silas Marner,George Eliot,N/A,1860,https://openlibrary.org/works/OL20874W
Otherwise Known as Sheila the Great,Judy Blume,N/A,1972,https://openlibrary.org/works/OL1838365W
Split Second,David Baldacci,N/A,2003,https://openlibrary.org/works/OL41246W
Mostly Harmless,Douglas Adams,N/A,1991,https://openlibrary.org/works/OL2163638W
The ARRL handbook for the radio amateur,American Radio Relay League (ARRL),N/A,1926,https://openlibrary.org/works/OL5049432W
The Winter of Our Discontent,John Steinbeck,N/A,1961,https://openlibrary.org/works/OL23190W
The Wisdom of Father Brown,Gilbert Keith Chesterton,N/A,1913,https://openlibrary.org/works/OL76483W
The schoolmasters assistant,"Thomas Dilworth, Moses Browne, William Deane, Robert Patterson",N/A,1744,https://openlibrary.org/works/OL1651332W
What's wrong with the world,"Gilbert Keith Chesterton, CrossReach Publications",N/A,1910,https://openlibrary.org/works/OL76479W
Doce cuentos peregrinos,Gabriel García Márquez,N/A,1992,https://openlibrary.org/works/OL274515W
Night and Day,Virginia Woolf,N/A,1919,https://openlibrary.org/works/OL39571W
The Pathfinder,James Fenimore Cooper,N/A,1800,https://openlibrary.org/works/OL78009W
The Big Bad Wolf,James Patterson,N/A,2001,https://openlibrary.org/works/OL167179W
Dreamcatcher,Stephen King,N/A,2001,https://openlibrary.org/works/OL81598W
Hearts in Atlantis,Stephen King,N/A,1998,https://openlibrary.org/works/OL81624W
The Silver Sword,Ian Serraillier,N/A,1956,https://openlibrary.org/works/OL4628121W
Because of Winn-Dixie,Kate DiCamillo,N/A,2000,https://openlibrary.org/works/OL468658W
Desperation,Stephen King,N/A,1996,https://openlibrary.org/works/OL81611W
Frederick,Leo Lionni,N/A,1963,https://openlibrary.org/works/OL2162573W
The Endless Steppe,Esther Rudomin Hautzig,N/A,1968,https://openlibrary.org/works/OL270319W
From a Buick 8,Stephen King,N/A,2002,https://openlibrary.org/works/OL81586W
Principles of internal medicine,"Tinsley Randolph Harrison, Kurt J. Isselbacher, Eugene Braunwald, T. R. Harrison, Robert G. Petersdorf, Joseph B. Martin, Annie Ernaux, Marc Marie, Alison L. Strayer, Anthony S. Fauci, Jean D. Wilson MD, Dennis L. Kasper, Stephen L. Hauser, Dan L. Longo, J. Larry Jameson, Joseph Loscalzo, Richard M. Stone, Stephen Hauser, Jean D. Wilson, Richard K. Root, J. Jameson, Cynthia Brown, Charles M. Wiener, Robert Groysman, Groysman",N/A,1950,https://openlibrary.org/works/OL280577W
Software Engineering,"Roger S. Pressman, Bruce Maxim",N/A,1982,https://openlibrary.org/works/OL284009W
A short history of nearly everything,Bill Bryson,N/A,2003,https://openlibrary.org/works/OL74128W
The Gods Themselves,Isaac Asimov,N/A,1972,https://openlibrary.org/works/OL46395W
"Over Sea, Under Stone (The Dark Is Rising #1)",Susan Cooper,N/A,1965,https://openlibrary.org/works/OL894247W
The water-witch,James Fenimore Cooper,N/A,1830,https://openlibrary.org/works/OL78052W
The Crying of Lot 49,Thomas Pynchon,N/A,1965,https://openlibrary.org/works/OL2636665W
De l'esprit des lois,Charles-Louis de Secondat baron de La Brède et de Montesquieu,N/A,1748,https://openlibrary.org/works/OL453554W
The Internet for Dummies,"John R. Levine, Carol Baroudi, Margaret Levine Young, Arnold Reinhold, Hy Bender, Geoff Ebbs",N/A,1993,https://openlibrary.org/works/OL57786W
The Poison Belt,Arthur Conan Doyle,N/A,1913,https://openlibrary.org/works/OL262596W
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,Dav Pilkey,N/A,1999,https://openlibrary.org/works/OL8119758W
Titus Andronicus,William Shakespeare,N/A,1600,https://openlibrary.org/works/OL362675W
"Peau Noire, Masques Blancs","Frantz Fanon, Richard Philcox, Anthony Appiah",N/A,1952,https://openlibrary.org/works/OL1323771W
The Spy Who Came in from the Cold,John le Carré,N/A,1963,https://openlibrary.org/works/OL15723140W
The Toll-Gate,Georgette Heyer,N/A,1954,https://openlibrary.org/works/OL4092608W
The Odessa file,"Frederick Forsyth, Frederick Davidson",N/A,1842,https://openlibrary.org/works/OL15411113W
Old School,Jeff Kinney,N/A,1997,https://openlibrary.org/works/OL17267509W
The Miracle Worker,William Gibson,N/A,1956,https://openlibrary.org/works/OL261558W
Going Solo,Roald Dahl,N/A,1986,https://openlibrary.org/works/OL45875W
The Alienist,Caleb Carr,N/A,1994,https://openlibrary.org/works/OL2671485W
Anarchism and Other Essays,Emma Goldman,N/A,1910,https://openlibrary.org/works/OL2983646W
The Sum of All Fears,Tom Clancy,N/A,1991,https://openlibrary.org/works/OL448878W
Under the Lilacs,Louisa May Alcott,N/A,1878,https://openlibrary.org/works/OL30065W
The Very Busy Spider,Eric Carle,N/A,1984,https://openlibrary.org/works/OL52975W
The Ugly Truth,Jeff Kinney,N/A,2001,https://openlibrary.org/works/OL15192743W
Artemis Fowl. The Opal Deception,"Eoin Colfer, Adrian Dunbar",N/A,2005,https://openlibrary.org/works/OL5725975W
Sula,Toni Morrison,N/A,1973,https://openlibrary.org/works/OL50567W
When Hitler stole Pink Rabbit,Judith Kerr,N/A,1971,https://openlibrary.org/works/OL1742390W
Authority and the Individual,Bertrand Russell,N/A,1949,https://openlibrary.org/works/OL1088583W
The Return of Tarzan,Edgar Rice Burroughs,N/A,1915,https://openlibrary.org/works/OL1418249W
The Happy Prince and other tales,Oscar Wilde,N/A,1888,https://openlibrary.org/works/OL14877874W
The Broker,John Grisham,N/A,2005,https://openlibrary.org/works/OL76968W
Seta,Alessandro Baricco,N/A,1920,https://openlibrary.org/works/OL876504W
College Algebra,Ron Larson,N/A,1900,https://openlibrary.org/works/OL7943062W
Understanding Media,"Marshall McLuhan, Marshal McLuhan",N/A,1964,https://openlibrary.org/works/OL871783W
Maurice,E. M. Forster,N/A,1971,https://openlibrary.org/works/OL88877W
Watchers,Dean Koontz,N/A,1987,https://openlibrary.org/works/OL263297W
Arabella,Georgette Heyer,N/A,1949,https://openlibrary.org/works/OL4092683W
The Audacity of Hope,"Barack Obama, Erwin Dorado, Claudia Casanova, Esther Roig Giménez",N/A,2006,https://openlibrary.org/works/OL3246392W
Wild Swans,Jung Chang,N/A,1991,https://openlibrary.org/works/OL15845961W
Junky,"William S. Burroughs, Oliver Harris",N/A,1953,https://openlibrary.org/works/OL258131W
Three Lives,Gertrude Stein,N/A,1909,https://openlibrary.org/works/OL35383W
Ramona and Her Mother,Beverly Cleary,N/A,1979,https://openlibrary.org/works/OL151961W
Wrecking Ball,Jeff Kinney,N/A,2019,https://openlibrary.org/works/OL20465177W
Romeo and Juliet,William Shakespeare,N/A,1936,https://openlibrary.org/works/OL362026W
The Wonderful Story of Henry Sugar and Six More,Roald Dahl,N/A,1977,https://openlibrary.org/works/OL45864W
Dreams from My Father,Barack Obama,N/A,1995,https://openlibrary.org/works/OL3246382W
"1900, or, The last president",Ingersoll Lockwood,N/A,1896,https://openlibrary.org/works/OL11449061W
Le pont de la rivière kwaï,Pierre Boulle,N/A,1952,https://openlibrary.org/works/OL1319413W
The New Machiavelli,H. G. Wells,N/A,1900,https://openlibrary.org/works/OL52263W
Frank Lloyd Wright,Frank Lloyd Wright,N/A,1900,https://openlibrary.org/works/OL961860W
What is history?,"E. H. Carr, E. Carr, R. Evans",N/A,1961,https://openlibrary.org/works/OL1170598W
History of art,"H. W. Janson, H.W Janson, H. W Janson, H. W. Janson, Horst Woldemar JANSON, Anthony F. Janson, H. W. Janson",N/A,1962,https://openlibrary.org/works/OL1719867W
The Monk,Matthew Gregory Lewis,N/A,1794,https://openlibrary.org/works/OL15220454W
The House on Mango Street,Sandra Cisneros,N/A,1983,https://openlibrary.org/works/OL3243765W
La Celestina,Fernando de Rojas,N/A,1899,https://openlibrary.org/works/OL938934W
Principles of corporate finance,"Richard A. Brealey, Richard Brealey, David Brealey, Richard Brealey, Brealey Richard, Richard A Brealey, Stewart C Myers, Franklin Allen, BREALEY, Pitabas Mohanty, Richard Brealey and Stewart Myers and Franklin Allen",N/A,1981,https://openlibrary.org/works/OL72078W
The Great Hunt (The Wheel of Time Book 2),Robert Jordan,N/A,1990,https://openlibrary.org/works/OL7924135W
The House on the Borderland,William Hope Hodgson,N/A,1946,https://openlibrary.org/works/OL810402W
A Distant Mirror,Barbara Tuchman,N/A,1600,https://openlibrary.org/works/OL3378547W
"Thuvia, Maid of Mars","Edgar Rice Burroughs, Craig Trahan, Eric King, J. Allen St. John",N/A,1916,https://openlibrary.org/works/OL1418128W
My side of the mountain,Jean Craighead George,N/A,1959,https://openlibrary.org/works/OL111900W
Equal Rites,Terry Pratchett,N/A,1987,https://openlibrary.org/works/OL453670W
From slavery to freedom,"John Hope Franklin, Alfred A. Moss Jr., Evelyn Brooks Higginbotham",N/A,1947,https://openlibrary.org/works/OL55887W
Stormbreaker,Anthony Horowitz,N/A,2000,https://openlibrary.org/works/OL80763W
The way of all flesh,Samuel Butler,N/A,1900,https://openlibrary.org/works/OL22372W
Brisingr,Christopher Paolini,N/A,1998,https://openlibrary.org/works/OL5819884W
Baby Einstein,"Julie Aigner-Clark, Nadeem Zaidi",N/A,2001,https://openlibrary.org/works/OL8571036W
Herfsttij der Middeleeuwen,Johan Huizinga,N/A,1919,https://openlibrary.org/works/OL1141875W
Πρωταγόρας,Πλάτων,N/A,1828,https://openlibrary.org/works/OL51938W
The Kreutzer sonata and other stories,Лев Толстой,N/A,1887,https://openlibrary.org/works/OL15088382W
Plain tales from the hills,Rudyard Kipling,N/A,1888,https://openlibrary.org/works/OL20170W
Tropic of Capricorn,Henry Miller,N/A,1939,https://openlibrary.org/works/OL261868W
The Satanic Verses,Salman Rushdie,N/A,1988,https://openlibrary.org/works/OL457175W
The Trumpet of the Swan,E. B. White,N/A,1970,https://openlibrary.org/works/OL483387W
Der Einzige und sein Eigentum,Max Stirner,N/A,1845,https://openlibrary.org/works/OL1445824W
Evgeniĭ Onegin,Александр Сергеевич Пушкин,N/A,1833,https://openlibrary.org/works/OL623499W
Music,Roger Kamien,N/A,1976,https://openlibrary.org/works/OL2770497W
Doctor No,Ian Fleming,N/A,1958,https://openlibrary.org/works/OL85736W
Double Down,Jeff Kinney,N/A,2007,https://openlibrary.org/works/OL17603394W
Caddie Woodlawn,Carol Ryrie Brink,N/A,1935,https://openlibrary.org/works/OL265984W
Two years before the mast,Richard Henry Dana,N/A,1000,https://openlibrary.org/works/OL1815550W
The C Programming Language,"Brian W. Kernighan, Dennis MacAlistair Ritchie",N/A,1978,https://openlibrary.org/works/OL4617640W
The Tales of Beedle the Bard,J. K. Rowling,N/A,2008,https://openlibrary.org/works/OL13716951W
Raise the Titanic!,Clive Cussler,N/A,1976,https://openlibrary.org/works/OL84918W
"Capitalism, Socialism and Democracy","Joseph Alois Schumpeter, Gaël Fain, Roberto Ramos Fontecoba",N/A,1942,https://openlibrary.org/works/OL1295326W
Sociology,Richard T. Schaefer,N/A,1979,https://openlibrary.org/works/OL2005734W
A little princess,Bob Blaisdell,N/A,1905,https://openlibrary.org/works/OL15040856W
The Structure of Scientific Revolutions,"Thomas S. Kuhn, Dennis Holland",N/A,1955,https://openlibrary.org/works/OL3259254W
The house without a key,Earl Derr Biggers,N/A,1925,https://openlibrary.org/works/OL6438827W
Publication Manual of the American Psycological Association,"American Psychological Association., American Psychological Association, AMERICAN PSYCHOLOGICAL ASSOCIATION, 6th Edition Publication Manual of the American Psychological Association, APA (2010)",N/A,1952,https://openlibrary.org/works/OL3282884W
Wizard's First Rule,Terry Goodkind,N/A,1994,https://openlibrary.org/works/OL2010436W
Odyssey,Όμηρος,N/A,1980,https://openlibrary.org/works/OL26784440W
The Curious Case of Benjamin Button,F. Scott Fitzgerald,N/A,2007,https://openlibrary.org/works/OL468384W
The Currents of Space,Isaac Asimov,N/A,1952,https://openlibrary.org/works/OL46385W
Mémoires d'une jeune fille rangée,Simone de Beauvoir,N/A,1900,https://openlibrary.org/works/OL260382W
The history of the Peleponnesian war,"Thucydides, Pat Bottino",N/A,1545,https://openlibrary.org/works/OL762880W
The great controversy,"Ellen Gould Harmon White, E. G. White, Ellen G White, Ellen White, Ellen G. White, E.G. White, Ellen Gould Harmon White, White E.G, Ellen G. White, White, E. G., Ellen G. WHITE, Pacific Press Publishing Associaton",N/A,1858,https://openlibrary.org/works/OL1887655W
The Death and Life of Great American Cities,Jane Jacobs,N/A,1961,https://openlibrary.org/works/OL93641W
Rose in Bloom,"Louisa May Alcott, Harriet Roosevelt Richards",N/A,1876,https://openlibrary.org/works/OL30020W
Nightwood,Djuna Barnes,N/A,1936,https://openlibrary.org/works/OL505583W
Poems,Elizabeth Barrett Browning,N/A,1844,https://openlibrary.org/works/OL1198483W
The Electric Kool-Aid Acid Test,Tom Wolfe,N/A,1968,https://openlibrary.org/works/OL1925362W
The Miserable Mill,Lemony Snicket,N/A,2000,https://openlibrary.org/works/OL15104047W
Effective Executive,"Peter F. Drucker, Joseph A. Maciariello, Jim Collins, Tim Andres Pabon, Zachary First",N/A,1967,https://openlibrary.org/works/OL272920W
The story of art,E. H. Gombrich,N/A,1950,https://openlibrary.org/works/OL686193W
C. Iulii Caesaris Commentarii de bello gallico,"Gaius Julius Caesar, Marieluise Deißmann",N/A,1570,https://openlibrary.org/works/OL10306940W
21st Century Astronomy,"Jeffrey S. Hester, David Burstein, George Blumenthal, Ronald Greeley, Jeff Hester, Bradford Smith, Howard Voss, Gary Wegner",N/A,2002,https://openlibrary.org/works/OL21725900W
How to Stop Worrying and Start Living,"Dale Carnegie, Kaneiji Dale",N/A,1936,https://openlibrary.org/works/OL1063338W
The Book Of Three,"Alexander, Lloyd Alexander",N/A,1964,https://openlibrary.org/works/OL270887W
Children of Dune,Frank Herbert,N/A,1976,https://openlibrary.org/works/OL893516W
